videoID,uploaderID,title,categoryID,themeID,publishTime,duration
48,11,智能手机可能是人类科技史上卷得最惨的赛道,4,1,2023-04-20 14:17:19,26:51
49,11,万亿中餐市场为什么难出巨头？,4,1,2023-04-15 22:32:05,19:47
50,11,华为欧洲小镇一日游：这真的是个上班的地方吗？,4,1,2023-04-04 19:17:21,26:15
51,11,BAT早就过时了，看懂2023年互联网大厂新战况,4,1,2023-03-13 13:54:23,28:06
52,11,我们生活在四个世界里面,4,1,2023-03-02 11:30:00,34:42
53,11,原神算不算中国的文化输出？,4,1,2023-02-26 15:33:45,15:26
54,11,我们做了b站首档知识区UP吵架拌嘴的辩论节目！,4,1,2023-02-17 15:00:00,40:26
55,11,你对AI的理解可能从根儿上就错了【关于AI的一些元问题】,4,1,2023-02-09 10:30:00,23:47
56,11,人类不会感谢罗辑,4,1,2023-01-31 21:10:59,14:48
57,11,流浪地球是在讲一种很新的故事吗？,4,1,2023-01-28 10:00:00,15:01
58,11,为什么我们可以评价他人？,4,1,2023-01-23 23:41:06,33:01
59,11,下沉内容崛起：一场双向奔赴的伪下沉表演【解构B站】,4,1,2023-01-22 11:00:00,16:59
60,11,第十届新国辩：up主跨界表演赛 00后改变了/没改变职场,4,1,2023-01-20 22:00:00,78:39
61,11,三体动画拉胯，最大的问题是叙事路线错了,4,1,2023-01-16 12:24:12,06:38
62,11,和不可名状的非必要一年说再见——我的新年献词,4,1,2022-12-31 23:55:00,05:21
63,11,对谈Mercy（下）：没有中国有嘻哈，说唱就不是现在这个样子,4,1,2022-12-30 18:30:00,15:18
64,11,对谈Mercy（上）：黑怕并不高级，没必要整鄙视链,4,1,2022-12-30 18:00:00,19:51
65,11,如果超能力是真的，你会生活在一个怎样的社会？,4,1,2022-11-29 15:35:52,14:56
66,11,一饭难求！双十一巨靠谱炒饭开张，一天卖出…,4,1,2022-11-11 16:42:13,09:38
67,11,"双十一""落寞""？你没看到的是它托起的生态",4,1,2022-11-07 19:00:00,14:28
68,11,甲方让我聊聊时尚，我说我不懂,4,1,2022-11-04 17:30:00,10:17
69,11,知识区老蒋给前女友唱断点？！【翻到一个宝藏UP主】,4,1,2022-10-11 17:30:00,08:36
70,11,皮套人谈个恋爱又怎么了？【老蒋V圈观察2.0下】,4,1,2022-10-02 11:00:00,33:13
71,11,V圈已经一半是饭圈的形状了【老蒋V圈观察2.0上】,4,1,2022-09-22 22:24:29,36:03
72,11,飞盘被嘲讽的背后，没准是挫败感【三观不正02】,4,1,2022-08-09 12:44:59,28:22
73,11,【艾叔x老蒋x切里x二喵】up主租房踩坑实记，独家省钱干货大揭秘,4,1,2022-07-31 11:30:00,23:04
74,11,雪糕不物美价廉，就有错么？【三观不正01】,4,1,2022-07-23 11:12:00,28:50
75,11,在珈乐“休眠”前夜，我直播说“ASOUL永远让人感到安全”，令人感叹,4,1,2022-05-11 03:53:58,05:17
76,11,【上海隔离记录】从小没挨过饿，就不知道囤粮,4,1,2022-04-14 20:52:36,49:40
77,11,【互联网简史】新消费可能是个伪概念，但这不重要,4,1,2022-04-08 18:58:36,21:11
78,11,“140万粉的你，相信自己视频里的观点吗？”,4,1,2022-04-01 12:50:00,19:05
79,11,2000亿的中国内衣市场，大混战才刚开始【老蒋内衣研究下】,4,1,2022-03-26 12:45:00,25:36
80,11,灾难发生后，一切蹭热点都是人血馒头吗？我们需要怎样的媒体内容？,4,1,2022-03-25 10:00:00,26:58
81,11,胸大的女孩反而希望显小？男性对bra有哪些误解？【老蒋内衣研究上】,4,1,2022-03-24 16:00:00,25:40
82,11,两个up决定关起门来，互相为对方添添堵…,4,1,2022-01-30 14:00:04,21:11
83,11,《新 人 UP 锐 评 百 大》,4,1,2022-01-25 22:44:28,24:16
84,11,该不该上网手撕？遇到渣男渣女怎么办|奇怪的联动增加了【确实该聊聊】,4,1,2022-01-24 13:00:16,24:01
85,11,34岁中年up主的几个人生建议，比如别信人脉,4,1,2022-01-01 12:00:03,20:35
86,11,我对ASOUL入脑后，明白了嘉然约等于克苏鲁,4,1,2021-12-22 19:55:42,26:37
87,11,为什么装修、医药、婚庆这些行业猫腻多？我总结了六种坑特性,4,1,2021-12-18 16:25:33,16:52
88,11,2021财经盘点：结构性调整大年,4,1,2021-12-09 21:41:55,22:11
89,11,电竞应该学习韩国但不用恐韩，他们只是早跑了十年而已【聊聊电竞下】,4,1,2021-11-22 21:49:56,42:02
90,11,聊聊电竞（上）：高度不成熟但进化迅速的受众群体,4,1,2021-11-11 17:55:38,31:57
91,11,个体自由和群体利益，太偏向哪边都是反智,4,1,2021-09-21 11:47:18,38:15
92,11,B站过去两年挣钱靠直播，未来两年机会在花火，大后期害得是自研游戏（B站2019-2021复盘完结篇）,4,1,2021-08-22 18:58:43,42:03
93,11,B站最终没走油管的路——B站商业化进展近两年复盘（上）,4,1,2021-08-21 18:38:10,25:16
94,11,差不多得了，互联网掘墓人，滥用挖坟清算可不是正义,4,1,2021-08-16 21:48:51,06:07
95,11,永远不要被一般等价物困住——老蒋的两年总结下,4,1,2021-07-08 18:16:34,42:48
96,11,为什么后来者总能居上？——老蒋的UP主两年总结（上）,4,1,2021-07-07 19:30:31,22:56
97,11,12周年的阿B站在了半山腰上,4,1,2021-07-05 12:30:14,43:41
98,11,有人说，老蒋你找个厂上班吧，我就去了,4,1,2021-06-30 20:48:44,14:09
99,11,在电商崛起中成为牺牲品的书店业，未来在哪里？,4,1,2021-05-16 13:50:37,32:32
100,11,给青年添个堵,4,1,2021-05-05 00:19:29,05:08
101,10,徐静雨谈峰哥现状，是否唇亡齿寒？目前他是属于哪种情况？,9,5,2025-11-15 22:57:14,4:45
102,8,直播间只剩2000+人！徐静雨连播两天商单！被观众围剿一整晚破防了……,9,5,2025-11-15 23:30:13,6:58
103,6,徐静雨杀疯了！快船应该重建吗？杨毅、王猛: 不需要！ 徐静雨一派胡言！全给我交易了！,9,5,2025-11-10 20:44:06,27:30
104,1,徐静雨锐评: 杨翰森发展联盟首秀！8+13+4！不能再欢呼雀跃了！,9,5,2025-11-15 21:15:14,1:11
105,3,徐静雨竞燃之夜人气解说奖！依旧羽绒服大步往里闯！,9,5,2025-11-13 18:13:39,2:28
